"","scenario","matrix_number","parameter","true_in_CI","count","percent"
"1","baseline",1,"lambda",TRUE,92,0.92
"2","baseline",1,"reproduction_adult",TRUE,69,0.69
"3","baseline",1,"reproduction_juvenile",TRUE,87,0.87
"4","baseline",1,"survival_adult",TRUE,69,0.69
"5","baseline",1,"survival_juvenile",TRUE,90,0.9
"6","baseline",2,"lambda",TRUE,95,0.95
"7","baseline",2,"reproduction_adult",TRUE,70,0.7
"8","baseline",2,"reproduction_juvenile",TRUE,76,0.76
"9","baseline",2,"survival_adult",TRUE,65,0.65
"10","baseline",2,"survival_juvenile",TRUE,79,0.79
"11","baseline",3,"lambda",TRUE,95,0.95
"12","baseline",3,"reproduction_adult",TRUE,68,0.68
"13","baseline",3,"reproduction_juvenile",TRUE,81,0.81
"14","baseline",3,"survival_adult",TRUE,66,0.66
"15","baseline",3,"survival_juvenile",TRUE,88,0.88
"16","baseline",4,"lambda",TRUE,55,0.55
"17","baseline",4,"reproduction_adult",TRUE,59,0.59
"18","baseline",4,"reproduction_juvenile",TRUE,73,0.73
"19","baseline",4,"survival_adult",TRUE,66,0.66
"20","baseline",4,"survival_juvenile",TRUE,76,0.76
"21","baseline",5,"lambda",TRUE,71,0.71
"22","baseline",5,"reproduction_adult",TRUE,62,0.62
"23","baseline",5,"reproduction_juvenile",TRUE,72,0.72
"24","baseline",5,"survival_adult",TRUE,67,0.67
"25","baseline",5,"survival_juvenile",TRUE,77,0.77
"26","random 
error",1,"lambda",TRUE,82,0.82
"27","random 
error",1,"reproduction_adult",TRUE,57,0.57
"28","random 
error",1,"reproduction_juvenile",TRUE,78,0.78
"29","random 
error",1,"survival_adult",TRUE,69,0.69
"30","random 
error",1,"survival_juvenile",TRUE,89,0.89
"31","random 
error",2,"lambda",TRUE,93,0.93
"32","random 
error",2,"reproduction_adult",TRUE,57,0.57
"33","random 
error",2,"reproduction_juvenile",TRUE,61,0.61
"34","random 
error",2,"survival_adult",TRUE,65,0.65
"35","random 
error",2,"survival_juvenile",TRUE,79,0.79
"36","random 
error",3,"lambda",TRUE,86,0.86
"37","random 
error",3,"reproduction_adult",TRUE,57,0.57
"38","random 
error",3,"reproduction_juvenile",TRUE,66,0.66
"39","random 
error",3,"survival_adult",TRUE,67,0.67
"40","random 
error",3,"survival_juvenile",TRUE,88,0.88
"41","random 
error",4,"lambda",TRUE,50,0.5
"42","random 
error",4,"reproduction_adult",TRUE,55,0.55
"43","random 
error",4,"reproduction_juvenile",TRUE,53,0.53
"44","random 
error",4,"survival_adult",TRUE,66,0.66
"45","random 
error",4,"survival_juvenile",TRUE,76,0.76
"46","random 
error",5,"lambda",TRUE,64,0.64
"47","random 
error",5,"reproduction_adult",TRUE,58,0.58
"48","random 
error",5,"reproduction_juvenile",TRUE,62,0.62
"49","random 
error",5,"survival_adult",TRUE,66,0.66
"50","random 
error",5,"survival_juvenile",TRUE,76,0.76
"51","random 
missing",1,"lambda",TRUE,71,0.71
"52","random 
missing",1,"recapture_adult",TRUE,43,0.43
"53","random 
missing",1,"reproduction_adult",TRUE,34,0.34
"54","random 
missing",1,"reproduction_juvenile",TRUE,82,0.82
"55","random 
missing",1,"survival_adult",TRUE,77,0.77
"56","random 
missing",1,"survival_juvenile",TRUE,86,0.86
"57","random 
missing",2,"lambda",TRUE,94,0.94
"58","random 
missing",2,"recapture_adult",TRUE,73,0.73
"59","random 
missing",2,"reproduction_adult",TRUE,33,0.33
"60","random 
missing",2,"reproduction_juvenile",TRUE,56,0.56
"61","random 
missing",2,"survival_adult",TRUE,63,0.63
"62","random 
missing",2,"survival_juvenile",TRUE,79,0.79
"63","random 
missing",3,"lambda",TRUE,82,0.82
"64","random 
missing",3,"recapture_adult",TRUE,87,0.87
"65","random 
missing",3,"reproduction_adult",TRUE,40,0.4
"66","random 
missing",3,"reproduction_juvenile",TRUE,54,0.54
"67","random 
missing",3,"survival_adult",TRUE,64,0.64
"68","random 
missing",3,"survival_juvenile",TRUE,92,0.92
"69","random 
missing",4,"recapture_adult",TRUE,1,0.01
"70","random 
missing",4,"reproduction_adult",TRUE,37,0.37
"71","random 
missing",4,"reproduction_juvenile",TRUE,17,0.17
"72","random 
missing",4,"survival_adult",TRUE,25,0.25
"73","random 
missing",4,"survival_juvenile",TRUE,3,0.03
"74","random 
missing",5,"lambda",TRUE,11,0.11
"75","random 
missing",5,"recapture_adult",TRUE,79,0.79
"76","random 
missing",5,"reproduction_adult",TRUE,47,0.47
"77","random 
missing",5,"reproduction_juvenile",TRUE,34,0.34
"78","random 
missing",5,"survival_adult",TRUE,69,0.69
"79","random 
missing",5,"survival_juvenile",TRUE,11,0.11
"80","adult 
missing",1,"lambda",TRUE,80,0.8
"81","adult 
missing",1,"recapture_adult",TRUE,28,0.28
"82","adult 
missing",1,"reproduction_adult",TRUE,71,0.71
"83","adult 
missing",1,"reproduction_juvenile",TRUE,86,0.86
"84","adult 
missing",1,"survival_adult",TRUE,58,0.58
"85","adult 
missing",1,"survival_juvenile",TRUE,81,0.81
"86","adult 
missing",2,"lambda",TRUE,79,0.79
"87","adult 
missing",2,"recapture_adult",TRUE,80,0.8
"88","adult 
missing",2,"reproduction_adult",TRUE,74,0.74
"89","adult 
missing",2,"reproduction_juvenile",TRUE,76,0.76
"90","adult 
missing",2,"survival_adult",TRUE,68,0.68
"91","adult 
missing",2,"survival_juvenile",TRUE,70,0.7
"92","adult 
missing",3,"lambda",TRUE,87,0.87
"93","adult 
missing",3,"recapture_adult",TRUE,82,0.82
"94","adult 
missing",3,"reproduction_adult",TRUE,73,0.73
"95","adult 
missing",3,"reproduction_juvenile",TRUE,81,0.81
"96","adult 
missing",3,"survival_adult",TRUE,65,0.65
"97","adult 
missing",3,"survival_juvenile",TRUE,70,0.7
"98","adult 
missing",4,"lambda",TRUE,59,0.59
"99","adult 
missing",4,"recapture_adult",TRUE,83,0.83
"100","adult 
missing",4,"reproduction_adult",TRUE,70,0.7
"101","adult 
missing",4,"reproduction_juvenile",TRUE,74,0.74
"102","adult 
missing",4,"survival_adult",TRUE,68,0.68
"103","adult 
missing",4,"survival_juvenile",TRUE,68,0.68
"104","adult 
missing",5,"lambda",TRUE,72,0.72
"105","adult 
missing",5,"recapture_adult",TRUE,89,0.89
"106","adult 
missing",5,"reproduction_adult",TRUE,75,0.75
"107","adult 
missing",5,"reproduction_juvenile",TRUE,72,0.72
"108","adult 
missing",5,"survival_adult",TRUE,72,0.72
"109","adult 
missing",5,"survival_juvenile",TRUE,81,0.81
"110","juvenile 
missing",1,"lambda",TRUE,71,0.71
"111","juvenile 
missing",1,"recapture_adult",TRUE,42,0.42
"112","juvenile 
missing",1,"reproduction_adult",TRUE,34,0.34
"113","juvenile 
missing",1,"reproduction_juvenile",TRUE,81,0.81
"114","juvenile 
missing",1,"survival_adult",TRUE,77,0.77
"115","juvenile 
missing",1,"survival_juvenile",TRUE,85,0.85
"116","juvenile 
missing",2,"lambda",TRUE,94,0.94
"117","juvenile 
missing",2,"recapture_adult",TRUE,73,0.73
"118","juvenile 
missing",2,"reproduction_adult",TRUE,33,0.33
"119","juvenile 
missing",2,"reproduction_juvenile",TRUE,57,0.57
"120","juvenile 
missing",2,"survival_adult",TRUE,64,0.64
"121","juvenile 
missing",2,"survival_juvenile",TRUE,79,0.79
"122","juvenile 
missing",3,"lambda",TRUE,82,0.82
"123","juvenile 
missing",3,"recapture_adult",TRUE,88,0.88
"124","juvenile 
missing",3,"reproduction_adult",TRUE,41,0.41
"125","juvenile 
missing",3,"reproduction_juvenile",TRUE,54,0.54
"126","juvenile 
missing",3,"survival_adult",TRUE,64,0.64
"127","juvenile 
missing",3,"survival_juvenile",TRUE,92,0.92
"128","juvenile 
missing",4,"recapture_adult",TRUE,1,0.01
"129","juvenile 
missing",4,"reproduction_adult",TRUE,36,0.36
"130","juvenile 
missing",4,"reproduction_juvenile",TRUE,18,0.18
"131","juvenile 
missing",4,"survival_adult",TRUE,25,0.25
"132","juvenile 
missing",4,"survival_juvenile",TRUE,4,0.04
"133","juvenile 
missing",5,"lambda",TRUE,11,0.11
"134","juvenile 
missing",5,"recapture_adult",TRUE,80,0.8
"135","juvenile 
missing",5,"reproduction_adult",TRUE,47,0.47
"136","juvenile 
missing",5,"reproduction_juvenile",TRUE,35,0.35
"137","juvenile 
missing",5,"survival_adult",TRUE,69,0.69
"138","juvenile 
missing",5,"survival_juvenile",TRUE,11,0.11
